student_id,text
1,Я выбрал(а) элективы: Маркетинг.
2,Я выбрал(а) элективы: Искусственный интеллект.
3,"Я выбрал(а) элективы: Психология, Финансы."
4,"Я выбрал(а) элективы: Финансы, Маркетинг, Психология."
5,"Я выбрал(а) элективы: Big Data, Веб-разработка, Маркетинг."
6,"Я выбрал(а) элективы: Социология, Искусственный интеллект, Big Data."
7,"Я выбрал(а) элективы: Маркетинг, UX/UI-дизайн."
8,Я выбрал(а) элективы: Big Data.
9,"Я выбрал(а) элективы: Бизнес, Психология, Финансы."
10,Я выбрал(а) элективы: Социология.
11,"Я выбрал(а) элективы: Управление проектами, Искусственный интеллект, Big Data."
12,Я выбрал(а) элективы: Бизнес-аналитика.
13,Я выбрал(а) элективы: Machine Learning.
14,"Я выбрал(а) элективы: Финансы, Big Data."
15,Я выбрал(а) элективы: Python.
16,"Я выбрал(а) элективы: Бизнес-аналитика, Machine Learning."
17,Я выбрал(а) элективы: Социология.
18,Я выбрал(а) элективы: SQL.
19,"Я выбрал(а) элективы: Управление проектами, Big Data, Психология."
20,"Я выбрал(а) элективы: Управление проектами, Маркетинг."
21,Я выбрал(а) элективы: Искусственный интеллект.
22,"Я выбрал(а) элективы: SQL, Data Science."
23,Я выбрал(а) элективы: Бизнес.
24,Я выбрал(а) элективы: Machine Learning.
25,Я выбрал(а) элективы: Big Data.
26,"Я выбрал(а) элективы: Веб-разработка, Python, Бизнес-аналитика."
27,Я выбрал(а) элективы: Дизайн.
28,"Я выбрал(а) элективы: Управление проектами, Финансы, Бизнес-аналитика."
29,Я выбрал(а) элективы: UX/UI-дизайн.
30,"Я выбрал(а) элективы: Python, Социология."
31,"Я выбрал(а) элективы: Маркетинг, UX/UI-дизайн, Бизнес-аналитика."
32,Я выбрал(а) элективы: Маркетинг.
33,"Я выбрал(а) элективы: UX/UI-дизайн, Финансы."
34,"Я выбрал(а) элективы: Дизайн, Социология, Python."
35,"Я выбрал(а) элективы: Веб-разработка, Python."
36,"Я выбрал(а) элективы: Социология, UX/UI-дизайн."
37,"Я выбрал(а) элективы: Управление проектами, Python."
38,"Я выбрал(а) элективы: Big Data, Machine Learning, Управление проектами."
39,"Я выбрал(а) элективы: UX/UI-дизайн, Data Science."
40,"Я выбрал(а) элективы: Дизайн, Data Science, SQL."
41,Я выбрал(а) элективы: Управление проектами.
42,Я выбрал(а) элективы: Управление проектами.
43,"Я выбрал(а) элективы: Управление проектами, Социология."
44,Я выбрал(а) элективы: Финансы.
45,"Я выбрал(а) элективы: Маркетинг, Бизнес-аналитика, UX/UI-дизайн."
46,Я выбрал(а) элективы: Искусственный интеллект.
47,"Я выбрал(а) элективы: Искусственный интеллект, Data Science, Маркетинг."
48,"Я выбрал(а) элективы: Бизнес, Дизайн."
49,"Я выбрал(а) элективы: Data Science, Маркетинг, Финансы."
50,"Я выбрал(а) элективы: SQL, Искусственный интеллект, Веб-разработка."
51,Я выбрал(а) элективы: SQL.
52,Я выбрал(а) элективы: Искусственный интеллект.
53,Я выбрал(а) элективы: Дизайн.
54,Я выбрал(а) элективы: Социология.
55,Я выбрал(а) элективы: Machine Learning.
56,"Я выбрал(а) элективы: SQL, Финансы."
57,"Я выбрал(а) элективы: Социология, Machine Learning, Бизнес."
58,"Я выбрал(а) элективы: Финансы, SQL."
59,Я выбрал(а) элективы: UX/UI-дизайн.
60,"Я выбрал(а) элективы: Бизнес, SQL, Искусственный интеллект."
61,"Я выбрал(а) элективы: Big Data, Python."
62,Я выбрал(а) элективы: Психология.
63,"Я выбрал(а) элективы: Искусственный интеллект, Big Data."
64,"Я выбрал(а) элективы: Социология, UX/UI-дизайн."
65,"Я выбрал(а) элективы: Искусственный интеллект, SQL, Маркетинг."
66,Я выбрал(а) элективы: Социология.
67,Я выбрал(а) элективы: Big Data.
68,Я выбрал(а) элективы: Бизнес-аналитика.
69,"Я выбрал(а) элективы: Big Data, Дизайн."
70,"Я выбрал(а) элективы: Психология, SQL."
71,"Я выбрал(а) элективы: Маркетинг, Психология."
72,"Я выбрал(а) элективы: Бизнес, Дизайн."
73,"Я выбрал(а) элективы: Финансы, Веб-разработка, Психология."
74,"Я выбрал(а) элективы: Социология, Бизнес."
75,"Я выбрал(а) элективы: Big Data, Machine Learning, Data Science."
76,"Я выбрал(а) элективы: Python, Data Science, Big Data."
77,"Я выбрал(а) элективы: Маркетинг, Бизнес, SQL."
78,"Я выбрал(а) элективы: Веб-разработка, Machine Learning, Python."
79,Я выбрал(а) элективы: Python.
80,"Я выбрал(а) элективы: Бизнес-аналитика, Маркетинг, Дизайн."
81,"Я выбрал(а) элективы: Дизайн, Маркетинг."
82,"Я выбрал(а) элективы: Бизнес-аналитика, UX/UI-дизайн."
83,"Я выбрал(а) элективы: Python, Социология, Управление проектами."
84,Я выбрал(а) элективы: Психология.
85,Я выбрал(а) элективы: Data Science.
86,"Я выбрал(а) элективы: SQL, Machine Learning."
87,"Я выбрал(а) элективы: Управление проектами, Machine Learning, Data Science."
88,"Я выбрал(а) элективы: Machine Learning, Бизнес-аналитика."
89,"Я выбрал(а) элективы: SQL, Искусственный интеллект, Big Data."
90,"Я выбрал(а) элективы: UX/UI-дизайн, Управление проектами, Big Data."
91,"Я выбрал(а) элективы: Дизайн, Бизнес-аналитика, Финансы."
92,Я выбрал(а) элективы: Data Science.
93,"Я выбрал(а) элективы: Дизайн, Управление проектами, Бизнес."
94,"Я выбрал(а) элективы: Бизнес-аналитика, UX/UI-дизайн."
95,Я выбрал(а) элективы: UX/UI-дизайн.
96,"Я выбрал(а) элективы: Управление проектами, Искусственный интеллект."
97,"Я выбрал(а) элективы: Бизнес-аналитика, Machine Learning."
98,"Я выбрал(а) элективы: Социология, Веб-разработка."
99,"Я выбрал(а) элективы: Управление проектами, Социология, Python."
100,"Я выбрал(а) элективы: Дизайн, Big Data, Социология."
